G0,7,7,78487,84143,124,120
G1,9,7,65509,57538,112,119
G2,10,7,27978,37479,110,110
G3,5,5,27690,32446,127,121
G4,5,7,86953,45712,110,123
G5,9,10,76323,63865,114,121
G6,7,10,70817,67910,116,110
G7,9,7,70478,43947,123,120
G8,8,4,34763,74993,121,119
G9,6,6,45175,25764,128,110
G10,5,6,42202,80992,127,121
G11,4,9,51692,42150,113,126
G12,6,10,23757,80706,122,116
G13,10,9,80554,78399,121,110
G14,8,7,54625,44249,112,124
G15,7,8,78438,40114,117,121
G16,7,6,68282,20798,128,128
G17,7,4,43733,88709,111,121
G18,4,5,71476,53755,121,114
G19,6,7,50348,65903,114,123
G20,8,7,50859,41279,129,123
G21,9,4,66887,81512,129,113
G22,4,5,77652,67008,127,124
G23,8,6,65928,34447,120,124
G24,10,7,47034,49401,112,112
G25,4,10,54693,32559,128,117
G26,7,5,60143,42899,119,128
G27,6,6,51498,63731,112,121
G28,6,9,86367,65959,121,114
G29,8,5,89724,87066,120,125
G30,10,8,49929,26861,112,128
G31,5,9,86670,38908,125,125
G32,10,4,52340,60606,112,120
G33,8,7,68167,24478,111,128
G34,4,7,74592,74017,125,113
G35,7,4,87467,41157,112,125
G36,4,10,55166,81687,125,120
G37,10,4,54804,47342,128,118
G38,7,6,52280,69457,117,114
G39,10,7,42480,77100,121,123
G40,9,8,46842,72848,116,125
G41,5,7,66809,45830,119,118
G42,4,10,54981,55639,127,110
G43,8,8,44534,32672,120,116
G44,7,6,48555,79249,113,119
G45,7,8,29445,63731,112,128
G46,7,4,87256,38525,122,114
G47,6,10,52058,33873,122,125
G48,6,6,47095,69418,118,119
G49,5,6,38184,70743,119,119
G50,9,7,37743,29516,129,120
G51,10,6,20034,61184,126,119
G52,7,9,81963,57097,122,124
G53,5,6,55825,80566,114,111
G54,4,5,64575,83714,116,122
G55,9,10,76762,49419,129,115
G56,4,8,30782,64971,120,121
G57,8,8,23139,33484,111,119
G58,9,6,29477,69309,120,110
G59,6,6,24945,25447,127,120
G60,5,5,82602,36895,112,129
G61,5,8,66767,49628,110,120
G62,4,5,46416,44624,118,112
G63,5,9,27305,73977,122,119
G64,4,8,39161,25360,127,125
G65,4,6,80073,26954,118,123
G66,8,6,88229,48495,117,112
G67,8,9,74988,33574,125,124
G68,6,6,65070,48068,124,113
G69,4,10,85906,35418,110,116
G70,5,6,48054,73214,129,121
G71,7,10,52236,51693,117,121
G72,5,9,27991,42676,113,118
G73,9,5,25642,72428,129,110
G74,7,10,75577,86282,111,127
G75,10,10,78361,62519,123,129
G76,5,6,85696,61527,111,117
G77,10,8,69906,87555,125,119
G78,6,6,85447,53278,120,115
G79,9,7,44723,55019,111,127
G80,9,10,36539,46529,126,127
G81,8,7,43765,20969,124,128
G82,4,10,42075,53895,126,117
G83,4,9,44870,69815,118,117
G84,7,5,36191,88766,128,121
G85,4,6,79799,54659,124,110
G86,6,10,55126,30835,119,120
G87,9,10,69958,28562,128,127
G88,6,8,39675,24849,112,123
G89,6,6,74938,28545,121,112
G90,4,10,47195,50667,116,123
G91,10,7,32389,59305,113,129
G92,4,9,59041,68723,124,117
G93,4,5,31886,82683,110,122
G94,9,9,46130,59045,113,113
G95,4,10,25201,87377,119,117
G96,5,9,70483,62876,120,110
G97,4,8,71073,49230,128,126
G98,4,6,60818,76271,127,115
G99,5,6,59620,69988,113,117
