B1,8,74654,110,114
B2,8,80989,128,128
B3,6,63482,118,114
B4,9,73289,111,126
B5,9,64929,126,112
B6,8,72151,127,115
B7,6,68879,124,126
B8,8,87575,113,112
B9,4,62363,128,116
B10,4,88700,124,113
B11,8,62838,116,123
B12,10,82476,126,120
B13,9,60452,121,112
B14,5,60644,117,123
B15,6,72785,118,124
B16,8,72334,119,125
B17,10,65101,121,125
B18,4,75438,122,117
B19,10,70010,114,113
B20,5,67932,129,112
B21,10,68205,119,111
B22,8,88341,128,115
B23,9,85311,110,123
B24,4,81246,127,113
B25,8,79441,114,124
B26,4,60770,116,110
B27,6,73712,112,128
B28,6,76994,129,112
B29,6,73121,111,126
B30,4,65605,110,114
B31,4,76456,110,117
B32,10,76933,127,126
B33,7,86122,118,116
B34,10,64805,112,113
B35,10,68198,124,129
B36,6,66778,123,122
B37,9,66500,125,112
B38,6,69797,114,122
B39,5,76419,123,125
B40,9,75604,128,117
B41,5,66699,128,117
B42,9,87068,127,117
B43,10,67835,129,117
B44,4,76814,113,127
B45,6,67285,124,110
B46,9,68531,115,123
B47,5,64119,115,127
B48,10,68844,118,113
B49,9,68404,117,118
B50,9,89160,122,112
B51,8,71862,118,123
B52,10,75101,125,125
B53,9,83664,120,118
B54,4,78477,123,123
B55,8,81353,111,110
B56,5,87281,113,114
B57,9,71715,116,121
B58,6,66037,111,112
B59,6,62737,120,115
B60,10,74150,120,112
B61,9,65536,110,112
B62,5,74445,111,114
B63,5,79559,117,112
B64,5,71607,121,129
B65,7,84180,123,114
B66,7,80326,120,118
B67,5,69954,129,119
B68,5,81858,121,121
B69,10,78849,126,127
B70,6,84147,126,118
B71,7,72542,111,127
B72,7,83163,114,120
B73,9,71849,112,120
B74,4,60571,125,114
B75,8,62878,112,121
B76,8,86660,117,119
B77,10,89114,110,120
B78,8,60311,116,122
B79,5,72605,120,123
B80,10,80144,125,112
B81,8,84000,127,111
B82,7,74155,129,117
B83,10,82510,114,121
B84,10,80881,116,129
B85,4,74316,129,116
B86,7,64899,129,112
B87,8,66372,115,116
B88,4,74006,123,117
B89,8,60652,118,128
B90,7,60743,115,111
B91,4,71813,127,112
B92,10,89655,129,110
B93,6,62131,128,125
B94,8,80425,129,113
B95,9,86396,128,111
B96,10,71521,110,118
B97,9,65154,128,128
B98,7,74259,115,113
B99,5,69090,121,115
B100,7,61584,122,129
