G0,5,4,87627,27569,116,115
G1,5,9,87242,60051,116,128
G2,9,10,65848,25184,126,110
G3,9,6,49940,39455,123,119
G4,10,8,86052,70708,126,117
G5,4,4,28069,21659,123,125
G6,4,5,85549,52475,122,120
G7,6,10,29725,88723,120,118
G8,8,9,64025,70711,119,119
G9,10,7,65269,55370,113,126
G10,6,5,36595,29414,121,117
G11,6,5,33437,68158,115,110
G12,10,4,72510,78602,127,129
G13,7,5,32858,69984,123,110
G14,7,6,70416,51062,120,129
G15,10,9,63142,80824,125,120
G16,4,8,62858,57162,111,114
G17,9,5,34890,44765,128,120
G18,5,10,85819,67953,122,119
G19,9,5,81552,42482,122,121
G20,4,10,51018,22736,122,124
G21,7,5,39602,86351,125,129
G22,9,4,24946,81307,128,129
G23,5,4,51397,40139,110,129
G24,5,10,23791,82866,129,129
G25,8,6,62213,51522,127,129
G26,10,6,56469,58347,129,111
G27,8,8,28617,57224,124,116
G28,8,8,36835,44252,128,116
G29,7,5,42494,26924,114,127
G30,8,10,44359,64111,125,115
G31,8,7,80577,82127,110,125
G32,9,5,65990,57129,115,115
G33,7,5,23202,85904,119,121
G34,6,8,73089,39044,119,129
G35,6,6,71155,67446,128,118
G36,9,10,35452,61710,121,121
G37,8,7,32167,77660,115,121
G38,4,7,80291,29807,123,129
G39,9,6,29410,20086,126,128
G40,7,10,58930,38801,123,120
G41,5,10,57916,47470,126,117
G42,4,4,30906,57647,125,120
G43,5,8,35837,88814,124,123
G44,10,8,71868,31723,129,126
G45,5,4,54201,52520,126,113
G46,4,5,71891,81108,116,115
G47,6,10,47110,77686,112,127
G48,10,9,21795,24951,112,113
G49,8,8,21309,50324,117,114
G50,5,4,63438,75329,121,117
G51,9,4,34641,53314,125,119
G52,4,4,78407,86064,123,121
G53,9,8,35552,37430,120,116
G54,8,10,54162,21749,120,125
G55,6,9,80181,65654,126,114
G56,10,4,31958,72829,111,118
G57,7,7,53120,72243,112,110
G58,6,7,40598,59821,115,128
G59,10,4,23040,89931,115,115
G60,5,4,33509,25254,112,122
G61,10,4,35540,56613,116,111
G62,9,4,29233,85025,114,115
G63,8,8,54571,51296,118,111
G64,6,7,74789,31190,129,121
G65,9,10,20208,72263,118,121
G66,5,7,48202,46241,119,121
G67,5,6,65446,39786,129,118
G68,9,10,67413,63154,117,128
G69,9,8,64369,28354,111,125
G70,8,4,70497,35264,116,118
G71,4,8,36200,46449,128,113
G72,7,4,45543,80150,116,123
G73,7,7,32203,36962,115,114
G74,10,6,24701,47100,122,116
G75,4,10,51174,74457,120,116
G76,6,6,36548,85600,124,115
G77,8,8,86439,73313,122,121
G78,9,4,41110,37648,110,123
G79,10,4,23178,51396,111,118
G80,10,6,83651,45440,114,122
G81,9,10,28157,38691,123,117
G82,9,7,64323,76233,126,114
G83,10,6,32984,34378,110,129
G84,8,4,69120,22480,128,124
G85,4,6,71594,84622,119,125
G86,7,5,22921,40605,119,120
G87,5,10,30568,28225,113,115
G88,6,9,76372,88769,122,115
G89,4,4,56325,67478,115,129
G90,8,5,69535,88808,123,127
G91,7,4,42568,72650,118,115
G92,5,7,32923,87456,126,114
G93,6,6,54988,40677,119,125
G94,9,9,38219,43234,117,128
G95,4,10,35482,28600,118,112
G96,5,10,51959,62837,115,113
G97,5,5,89404,31083,124,114
G98,9,9,66740,41390,120,125
G99,5,4,36350,32484,111,114
